,County,Income per Capita,Population,Doses,Doses per Capita
192,"Pope, AR",35464,64072,,
193,"Prairie, AR",37330,8062,,
194,"Pulaski, AR",51927,391911,,
195,"Randolph, AR",34352,17958,,
196,"St. Francis, AR",29154,24994,,
197,"Saline, AR",42688,122437,,
198,"Scott, AR",31159,10281,,
199,"Searcy, AR",28143,7881,,
200,"Sebastian, AR",42821,127827,,
201,"Sevier, AR",32001,17007,,
202,"Sharp, AR",34403,17442,,
203,"Stone, AR",31593,12506,,
204,"Union, AR",45261,38682,,
205,"Van Buren, AR",31697,16545,,
206,"Washington, AR",41005,239187,,
207,"White, AR",37082,78753,,
208,"Woodruff, AR",39902,6320,,
209,"Yell, AR",33260,21341,,
210,"Alameda, CA",81171,1671329,,
211,"Alpine, CA",72155,1129,,
212,"Amador, CA",45920,39752,,
213,"Butte, CA",47860,219186,,
214,"Calaveras, CA",51131,45905,,
215,"Colusa, CA",51342,21547,,
216,"Contra Costa, CA",85324,1153526,,
217,"Del Norte, CA",38445,27812,,
218,"El Dorado, CA",69895,192843,,
219,"Fresno, CA",45487,999101,,
220,"Glenn, CA",49194,28393,,
221,"Humboldt, CA",49654,135558,,
222,"Imperial, CA",40447,181215,,
223,"Inyo, CA",60513,18039,,
224,"Kern, CA",41843,900202,,
225,"Kings, CA",39433,152940,,
226,"Lake, CA",44259,64386,,
227,"Lassen, CA",38130,30573,,
228,"Los Angeles, CA",65094,10039107,,
229,"Madera, CA",41267,157327,,
230,"Marin, CA",141735,258826,,
231,"Mariposa, CA",56354,17203,,
232,"Mendocino, CA",52976,86749,,
233,"Merced, CA",41077,277680,,
234,"Modoc, CA",51088,8841,,
235,"Mono, CA",53500,14444,,
236,"Monterey, CA",59838,434061,,
237,"Napa, CA",75717,137744,,
238,"Nevada, CA",63542,99755,,
239,"Orange, CA",71711,3175692,,
240,"Placer, CA",68936,398329,,
241,"Plumas, CA",55910,18807,,
242,"Riverside, CA",42418,2470546,,
243,"Sacramento, CA",55266,1552058,,
244,"San Benito, CA",55261,62808,,
245,"San Bernardino, CA",42043,2180085,,
246,"San Diego, CA",63729,3338330,,
247,"San Francisco, CA",139405,881549,,
248,"San Joaquin, CA",47139,762148,,
249,"San Luis Obispo, CA",61004,283111,,
250,"San Mateo, CA",134107,766573,,
251,"Santa Barbara, CA",66076,446499,,
252,"Santa Clara, CA",115997,1927852,,
253,"Santa Cruz, CA",71592,273213,,
254,"Shasta, CA",48438,180080,,
255,"Sierra, CA",47245,3005,,
256,"Siskiyou, CA",48021,43539,,
257,"Solano, CA",53505,447643,,
258,"Sonoma, CA",66700,494336,,
259,"Stanislaus, CA",45742,550660,,
260,"Sutter, CA",47605,96971,,
261,"Tehama, CA",43268,65084,,
262,"Trinity, CA",43471,12285,,
263,"Tulare, CA",42845,466195,,
264,"Tuolumne, CA",48841,54478,,
265,"Ventura, CA",64715,846006,,
266,"Yolo, CA",56123,220500,,
267,"Yuba, CA",43536,78668,,
268,"Adams, CO*",45481,517421,,
269,"Alamosa, CO",40076,16233,,
270,"Arapahoe, CO",64477,656590,,
271,"Archuleta, CO",43088,14029,,
272,"Baca, CO",43297,3581,,
273,"Bent, CO",31374,5577,,
274,"Boulder, CO*",76527,326196,,
275,"Broomfield, CO*",70996,70465,,
276,"Chaffee, CO",49036,20356,,
277,"Cheyenne, CO",55188,1831,,
278,"Clear Creek, CO",61816,9700,,
279,"Conejos, CO",38385,8205,,
280,"Costilla, CO",35621,3887,,
281,"Crowley, CO",20822,6061,,
282,"Custer, CO",42381,5068,,
283,"Delta, CO",39339,31162,,
284,"Denver, CO",81405,727211,,
285,"Dolores, CO",38005,2055,,
286,"Douglas, CO",78455,351154,,
287,"Eagle, CO",84765,55127,,
288,"Elbert, CO",60586,26729,,
289,"El Paso, CO",51117,720403,,
290,"Fremont, CO",36966,47839,,
291,"Garfield, CO",60285,60061,,
292,"Gilpin, CO",50346,6243,,
