,County,Income per Capita,Population,Doses,Doses per Capita
736,"DeKalb, IN",45324,43475,,
737,"Delaware, IN",38129,114135,,
738,"Dubois, IN",57217,42736,,
739,"Elkhart, IN",46975,206341,,
740,"Fayette, IN",41993,23102,,
741,"Floyd, IN",57145,78522,,
742,"Fountain, IN",41412,16346,,
743,"Franklin, IN",47664,22758,,
744,"Fulton, IN",43775,19974,,
745,"Gibson, IN",46049,33659,,
746,"Grant, IN",41491,65769,,
747,"Greene, IN",41747,31922,,
748,"Hamilton, IN",77263,338011,,
749,"Hancock, IN",52134,78168,,
750,"Harrison, IN",43431,40515,,
751,"Hendricks, IN",50979,170311,,
752,"Henry, IN",39863,47972,,
753,"Howard, IN",42911,82544,,
754,"Huntington, IN",42824,36520,,
755,"Jackson, IN",44192,44231,,
756,"Jasper, IN",45777,33562,,
757,"Jay, IN",39317,20436,,
758,"Jefferson, IN",44102,32308,,
759,"Jennings, IN",41169,27735,,
760,"Johnson, IN",50018,158167,,
761,"Knox, IN",45882,36594,,
762,"Kosciusko, IN",48425,79456,,
763,"Lagrange, IN",43275,39614,,
764,"Lake, IN",46736,485493,,
765,"LaPorte, IN",43910,109888,,
766,"Lawrence, IN",42538,45370,,
767,"Madison, IN",39428,129569,,
768,"Marion, IN",54405,964582,,
769,"Marshall, IN",42196,46258,,
770,"Martin, IN",39207,10255,,
771,"Miami, IN",35970,35516,,
772,"Monroe, IN",43660,148431,,
773,"Montgomery, IN",40979,38338,,
774,"Morgan, IN",45352,70489,,
775,"Newton, IN",41454,13984,,
776,"Noble, IN",40799,47744,,
777,"Ohio, IN",41339,5875,,
778,"Orange, IN",38432,19646,,
779,"Owen, IN",41632,20799,,
780,"Parke, IN",37570,16937,,
781,"Perry, IN",38272,19169,,
782,"Pike, IN",41827,12389,,
783,"Porter, IN",54723,170389,,
784,"Posey, IN",50407,25427,,
785,"Pulaski, IN",45473,12353,,
786,"Putnam, IN",38303,37576,,
787,"Randolph, IN",39222,24665,,
788,"Ripley, IN",43282,28324,,
789,"Rush, IN",47445,16581,,
790,"St. Joseph, IN",48535,271826,,
791,"Scott, IN",38948,23873,,
792,"Shelby, IN",44799,44729,,
793,"Spencer, IN",46393,20277,,
794,"Starke, IN",35648,22995,,
795,"Steuben, IN",44854,34594,,
796,"Sullivan, IN",36863,20669,,
797,"Switzerland, IN",32174,10751,,
798,"Tippecanoe, IN",39525,195732,,
799,"Tipton, IN",47392,15148,,
800,"Union, IN",40659,7054,,
801,"Vanderburgh, IN",47233,181451,,
802,"Vermillion, IN",38633,15498,,
803,"Vigo, IN",39432,107038,,
804,"Wabash, IN",43955,30996,,
805,"Warren, IN",45202,8265,,
806,"Warrick, IN",58539,62998,,
807,"Washington, IN",39759,28036,,
808,"Wayne, IN",42857,65884,,
809,"Wells, IN",42857,28296,,
810,"White, IN",44008,24102,,
811,"Whitley, IN",46555,33964,,
812,"Adair, IA",55251,7152,,
813,"Adams, IA",66683,3602,,
814,"Allamakee, IA",49945,13687,,
815,"Appanoose, IA",40000,12426,,
816,"Audubon, IA",58359,5496,,
817,"Benton, IA",55520,25645,,
818,"Black Hawk, IA",46326,131228,,
819,"Boone, IA",49794,26234,,
820,"Bremer, IA",50810,25062,,
821,"Buchanan, IA",50823,21175,,
822,"Buena Vista, IA",48394,19620,,
823,"Butler, IA",49509,14439,,
824,"Calhoun, IA",54273,9668,,
825,"Carroll, IA",58482,20165,,
826,"Cass, IA",50153,12836,,
827,"Cedar, IA",56419,18627,,
828,"Cerro Gordo, IA",54253,42450,,
829,"Cherokee, IA",65727,11235,,
830,"Chickasaw, IA",62483,11933,,
831,"Clarke, IA",42031,9395,,
832,"Clay, IA",54270,16016,,
833,"Clayton, IA",51982,17549,,
834,"Clinton, IA",46466,46429,,
835,"Crawford, IA",45817,16820,,
836,"Dallas, IA",68246,93453,,
837,"Davis, IA",40289,9000,,
838,"Decatur, IA",36494,7870,,
839,"Delaware, IA",54823,17011,,
840,"Des Moines, IA",50725,38967,,
841,"Dickinson, IA",62364,17258,,
842,"Dubuque, IA",51525,97311,,
843,"Emmet, IA",48926,9208,,
844,"Fayette, IA",46621,19650,,
845,"Floyd, IA",50203,15642,,
846,"Franklin, IA",53241,10070,,
847,"Fremont, IA",50441,6960,,
848,"Greene, IA",53039,8888,,
849,"Grundy, IA",55017,12232,,
850,"Guthrie, IA",54843,10689,,
851,"Hamilton, IA",58399,14773,,
852,"Hancock, IA",57702,10630,,
853,"Hardin, IA",52844,16846,,
854,"Harrison, IA",49085,14049,,
855,"Henry, IA",44932,19954,,
856,"Howard, IA",53184,9158,,
857,"Humboldt, IA",52742,9558,,
858,"Ida, IA",56128,6860,,
859,"Iowa, IA",56382,16184,,
860,"Jackson, IA",47052,19439,,
861,"Jasper, IA",43987,37185,,
862,"Jefferson, IA",41936,18295,,
863,"Johnson, IA",54917,151140,,
864,"Jones, IA",45927,20681,,
865,"Keokuk, IA",48084,10246,,
866,"Kossuth, IA",56902,14813,,
867,"Lee, IA",43430,33657,,
868,"Linn, IA",53533,226706,,
869,"Louisa, IA",46211,11035,,
870,"Lucas, IA",43061,8600,,
871,"Lyon, IA",66756,11755,,
872,"Madison, IA",50460,16338,,
873,"Mahaska, IA",46516,22095,,
874,"Marion, IA",50862,33253,,
875,"Marshall, IA",44589,39369,,
876,"Mills, IA",57897,15109,,
877,"Mitchell, IA",69700,10586,,
878,"Monona, IA",50103,8615,,
879,"Monroe, IA",46356,7707,,
880,"Montgomery, IA",44918,9917,,
881,"Muscatine, IA",48563,42664,,
882,"O'Brien, IA",61246,13753,,
883,"Osceola, IA",61277,5958,,
884,"Page, IA",44442,15107,,
885,"Palo Alto, IA",58989,8886,,
886,"Plymouth, IA",60040,25177,,
887,"Pocahontas, IA",61992,6619,,
888,"Polk, IA",53859,490161,,
889,"Pottawattamie, IA",47150,93206,,
890,"Poweshiek, IA",47199,18504,,
891,"Ringgold, IA",50405,4894,,
892,"Sac, IA",59085,9721,,
893,"Scott, IA",55758,172943,,
894,"Shelby, IA",56323,11454,,
895,"Sioux, IA",58585,34855,,
896,"Story, IA",43643,97117,,
897,"Tama, IA",48923,16854,,
898,"Taylor, IA",45093,6121,,
899,"Union, IA",42530,12241,,
900,"Van Buren, IA",42908,7044,,
901,"Wapello, IA",40344,34969,,
902,"Warren, IA",51776,51466,,
903,"Washington, IA",62145,21965,,
904,"Wayne, IA",44614,6441,,
905,"Webster, IA",48588,35904,,
906,"Winnebago, IA",45793,10354,,
907,"Winneshiek, IA",51904,19991,,
908,"Woodbury, IA",45132,103107,,
909,"Worth, IA",44675,7381,,
910,"Wright, IA",55258,12562,,
911,"Allen, KS",43163,12369,,
912,"Anderson, KS",42046,7858,,
913,"Atchison, KS",40335,16073,,
914,"Barber, KS",48489,4427,,
915,"Barton, KS",49460,25779,,
916,"Bourbon, KS",46149,14534,,
917,"Brown, KS",47930,9564,,
918,"Butler, KS",48216,66911,,
919,"Chase, KS",53882,2648,,
920,"Chautauqua, KS",43327,3250,,
921,"Cherokee, KS",42872,19939,,
922,"Cheyenne, KS",54890,2657,,
923,"Clark, KS",64457,1994,,
924,"Clay, KS",46888,8002,,
925,"Cloud, KS",41892,8786,,
926,"Coffey, KS",55119,8179,,
927,"Comanche, KS",46878,1700,,
928,"Cowley, KS",40042,34908,,
929,"Crawford, KS",39788,38818,,
930,"Decatur, KS",50635,2827,,
931,"Dickinson, KS",44101,18466,,
932,"Doniphan, KS",44486,7600,,
933,"Douglas, KS",45163,122259,,
934,"Edwards, KS",62707,2798,,
935,"Elk, KS",41529,2530,,
936,"Ellis, KS",47758,28553,,
937,"Ellsworth, KS",48380,6102,,
938,"Finney, KS",46823,36467,,
939,"Ford, KS",41373,33619,,
940,"Franklin, KS",44472,25544,,
941,"Geary, KS",51410,31670,,
942,"Gove, KS",66403,2636,,
943,"Graham, KS",56940,2482,,
944,"Grant, KS",54892,7150,,
945,"Gray, KS",75961,5988,,
946,"Greeley, KS",98916,1232,,
947,"Greenwood, KS",44689,5982,,
948,"Hamilton, KS",69339,2539,,
949,"Harper, KS",54894,5436,,
950,"Harvey, KS",44416,34429,,
951,"Haskell, KS",77955,3968,,
952,"Hodgeman, KS",65688,1794,,
953,"Jackson, KS",43447,13171,,
954,"Jefferson, KS",46234,19043,,
955,"Jewell, KS",57690,2879,,
956,"Johnson, KS",76206,602401,,
957,"Kearny, KS",59187,3838,,
958,"Kingman, KS",48512,7152,,
959,"Kiowa, KS",47726,2475,,
960,"Labette, KS",44760,19618,,
961,"Lane, KS",85007,1535,,
962,"Leavenworth, KS",44075,81758,,
963,"Lincoln, KS",48445,2962,,
964,"Linn, KS",41013,9703,,
965,"Logan, KS",53800,2794,,
966,"Lyon, KS",39962,33195,,
967,"McPherson, KS",56617,28542,,
968,"Marion, KS",45681,11884,,
969,"Marshall, KS",46580,9707,,
970,"Meade, KS",66270,4033,,
971,"Miami, KS",50210,34237,,
972,"Mitchell, KS",62780,5979,,
973,"Montgomery, KS",39041,31829,,
974,"Morris, KS",46409,5620,,
975,"Morton, KS",53296,2587,,
976,"Nemaha, KS",53211,10231,,
977,"Neosho, KS",41324,16007,,
978,"Ness, KS",58901,2750,,
979,"Norton, KS",47838,5361,,
980,"Osage, KS",43460,15949,,
981,"Osborne, KS",52889,3421,,
982,"Ottawa, KS",45417,5704,,
983,"Pawnee, KS",46226,6414,,
984,"Phillips, KS",56113,5234,,
985,"Pottawatomie, KS",55271,24383,,
986,"Pratt, KS",53891,9164,,
987,"Rawlins, KS",62147,2530,,
988,"Reno, KS",42115,61998,,
989,"Republic, KS",50019,4636,,
990,"Rice, KS",47243,9537,,
991,"Riley, KS",42528,74232,,
992,"Rooks, KS",44398,4920,,
993,"Rush, KS",52199,3036,,
994,"Russell, KS",47049,6856,,
995,"Saline, KS",50820,54224,,
996,"Scott, KS",74223,4823,,
997,"Sedgwick, KS",53577,516042,,
998,"Seward, KS",41567,21428,,
999,"Shawnee, KS",47991,176875,,
1000,"Sheridan, KS",62156,2521,,
1001,"Sherman, KS",46588,5917,,
1002,"Smith, KS",53381,3583,,
1003,"Stafford, KS",55629,4156,,
1004,"Stanton, KS",75841,2006,,
1005,"Stevens, KS",49540,5485,,
1006,"Sumner, KS",42524,22836,,
1007,"Thomas, KS",52540,7777,,
1008,"Trego, KS",53593,2803,,
1009,"Wabaunsee, KS",52706,6931,,
1010,"Wallace, KS",64805,1518,,
1011,"Washington, KS",52141,5406,,
1012,"Wichita, KS",86215,2119,,
1013,"Wilson, KS",44521,8525,,
1014,"Woodson, KS",42276,3138,,
1015,"Wyandotte, KS",34518,165429,,
1016,"Adair, KY",32549,19202,,
1017,"Allen, KY",32881,21315,,
1018,"Anderson, KY",40581,22747,,
1019,"Ballard, KY",38711,7888,,
1020,"Barren, KY",37337,44249,,
1021,"Bath, KY",31327,12500,,
1022,"Bell, KY",30649,26032,,
1023,"Boone, KY",49778,133581,,
1024,"Bourbon, KY",51505,19788,,
1025,"Boyd, KY",40453,46718,,
1026,"Boyle, KY",38958,30060,,
1027,"Bracken, KY",38692,8303,,
1028,"Breathitt, KY",34232,12630,,
1029,"Breckinridge, KY",34418,20477,,
1030,"Bullitt, KY",42799,81676,,
1031,"Butler, KY",35121,12879,,
1032,"Caldwell, KY",35437,12747,,
1033,"Calloway, KY",35878,39001,,
1034,"Campbell, KY",50398,93584,,
1035,"Carlisle, KY",42991,4760,,
1036,"Carroll, KY",37806,10631,,
1037,"Carter, KY",31713,26797,,
1038,"Casey, KY",31688,16159,,
1039,"Christian, KY",39504,70461,,
1040,"Clark, KY",40413,36263,,
1041,"Clay, KY",31200,19901,,
1042,"Clinton, KY",31601,10218,,
1043,"Crittenden, KY",36354,8806,,
1044,"Cumberland, KY",36467,6614,,
1045,"Daviess, KY",42372,101511,,
1046,"Edmonson, KY",34037,12150,,
1047,"Elliott, KY",22828,7517,,
1048,"Estill, KY",32928,14106,,
1049,"Fayette, KY",51707,323152,,
1050,"Fleming, KY",34732,14581,,
1051,"Floyd, KY",37133,35589,,
1052,"Franklin, KY",43271,50991,,
1053,"Fulton, KY",35240,5969,,
1054,"Gallatin, KY",33697,8869,,
1055,"Garrard, KY",35251,17666,,
1056,"Grant, KY",37083,25069,,
1057,"Graves, KY",38485,37266,,
1058,"Grayson, KY",34450,26427,,
1059,"Green, KY",34997,10941,,
1060,"Greenup, KY",42516,35098,,
1061,"Hancock, KY",38722,8722,,
1062,"Hardin, KY",44244,110958,,
1063,"Harlan, KY",31824,26010,,
1064,"Harrison, KY",36545,18886,,
1065,"Hart, KY",33648,19035,,
1066,"Henderson, KY",41279,45210,,
1067,"Henry, KY",39175,16126,,
1068,"Hickman, KY",42635,4380,,
1069,"Hopkins, KY",40317,44686,,
1070,"Jackson, KY",29848,13329,,
1071,"Jefferson, KY",54155,766757,,
1072,"Jessamine, KY",46250,54115,,
1073,"Johnson, KY",34356,22188,,
1074,"Kenton, KY",58349,166998,,
1075,"Knott, KY",31929,14806,,
1076,"Knox, KY",30105,31145,,
1077,"Larue, KY",38316,14398,,
1078,"Laurel, KY",34289,60813,,
1079,"Lawrence, KY",33213,15317,,
1080,"Lee, KY",29162,7403,,
1081,"Leslie, KY",34079,9877,,
1082,"Letcher, KY",31871,21553,,
1083,"Lewis, KY",32147,13275,,
1084,"Lincoln, KY",32881,24549,,
1085,"Livingston, KY",38515,9194,,
1086,"Logan, KY",36834,27102,,
1087,"Lyon, KY",37276,8210,,
1088,"McCracken, KY",49087,65418,,
1089,"McCreary, KY",26600,17231,,
1090,"McLean, KY",39163,9207,,
1091,"Madison, KY",36331,92987,,
1092,"Magoffin, KY",32995,12161,,
1093,"Marion, KY",37340,19273,,
1094,"Marshall, KY",42342,31100,,
1095,"Martin, KY",29905,11195,,
1096,"Mason, KY",41350,17070,,
1097,"Meade, KY",40942,28572,,
1098,"Menifee, KY",31681,6489,,
1099,"Mercer, KY",37806,21933,,
1100,"Metcalfe, KY",31848,10071,,
1101,"Monroe, KY",36837,10650,,
1102,"Montgomery, KY",35915,28157,,
1103,"Morgan, KY",27978,13309,,
1104,"Muhlenberg, KY",35138,30622,,
1105,"Nelson, KY",43809,46233,,
1106,"Nicholas, KY",34856,7269,,
1107,"Ohio, KY",33313,23994,,
1108,"Oldham, KY",66238,66799,,
1109,"Owen, KY",33365,10901,,
1110,"Owsley, KY",32461,4415,,
1111,"Pendleton, KY",45039,14590,,
1112,"Perry, KY",39308,25758,,
1113,"Pike, KY",37490,57876,,
1114,"Powell, KY",32532,12359,,
1115,"Pulaski, KY",38492,64979,,
1116,"Robertson, KY",34196,2108,,
1117,"Rockcastle, KY",32294,16695,,
1118,"Rowan, KY",31566,24460,,
1119,"Russell, KY",37346,17923,,
1120,"Scott, KY",44335,57004,,
1121,"Shelby, KY",46657,49024,,
1122,"Simpson, KY",39235,18572,,
1123,"Spencer, KY",45208,19351,,
1124,"Taylor, KY",35546,25769,,
1125,"Todd, KY",38112,12294,,
1126,"Trigg, KY",37633,14651,,
1127,"Trimble, KY",39400,8471,,
1128,"Union, KY",36348,14381,,
1129,"Warren, KY",38268,132896,,
1130,"Washington, KY",38210,12095,,
1131,"Wayne, KY",28935,20333,,
1132,"Webster, KY",39965,12942,,
1133,"Whitley, KY",34663,36264,,
1134,"Wolfe, KY",31658,7157,,
1135,"Woodford, KY",53292,26734,,
1136,"Acadia, LA",37786,62045,,
1137,"Allen, LA",34644,25627,,
1138,"Ascension, LA",50671,126604,,
1139,"Assumption, LA",47947,21891,,
1140,"Avoyelles, LA",39001,40144,,
1141,"Beauregard, LA",43473,37497,,
1142,"Bienville, LA",39111,13241,,
1143,"Bossier, LA",45110,127039,,
1144,"Caddo, LA",50690,240204,,
1145,"Calcasieu, LA",49664,203436,,
1146,"Caldwell, LA",35353,9918,,
1147,"Cameron, LA",49000,6973,,
1148,"Catahoula, LA",35037,9494,,
1149,"Claiborne, LA",34954,15670,,
1150,"Concordia, LA",34110,19259,,
1151,"De Soto, LA",42298,27463,,
1152,"East Baton Rouge, LA",53002,440059,,
1153,"East Carroll, LA",36035,6861,,
1154,"East Feliciana, LA",42353,19135,,
1155,"Evangeline, LA",33474,33395,,
1156,"Franklin, LA",33250,20015,,
1157,"Grant, LA",31890,22389,,
1158,"Iberia, LA",40403,69830,,
1159,"Iberville, LA",42418,32511,,
1160,"Jackson, LA",34843,15744,,
1161,"Jefferson, LA",52274,432493,,
1162,"Jefferson Davis, LA",42519,31368,,
1163,"Lafayette, LA",49629,244390,,
1164,"Lafourche, LA",45806,97614,,
1165,"LaSalle, LA",33992,14892,,
1166,"Lincoln, LA",40541,46742,,
1167,"Livingston, LA",42217,140789,,
1168,"Madison, LA",33275,10951,,
1169,"Morehouse, LA",39521,24874,,
1170,"Natchitoches, LA",41846,38158,,
1171,"Orleans, LA",53923,390144,,
1172,"Ouachita, LA",42398,153279,,
1173,"Plaquemines, LA",49507,23197,,
1174,"Pointe Coupee, LA",47083,21730,,
1175,"Rapides, LA",46614,129648,,
1176,"Red River, LA",44440,8442,,
1177,"Richland, LA",39080,20122,,
1178,"Sabine, LA",36025,23884,,
1179,"St. Bernard, LA",33556,47244,,
1180,"St. Charles, LA",49660,53100,,
1181,"St. Helena, LA",43338,10132,,
1182,"St. James, LA",52567,21096,,
1183,"St. John the Baptist, LA",41368,42837,,
1184,"St. Landry, LA",41922,82124,,
1185,"St. Martin, LA",39053,53431,,
1186,"St. Mary, LA",40746,49348,,
1187,"St. Tammany, LA",65938,260419,,
1188,"Tangipahoa, LA",38800,134758,,
1189,"Tensas, LA",41323,4334,,
1190,"Terrebonne, LA",42267,110461,,
1191,"Union, LA",40441,22108,,
1192,"Vermilion, LA",40237,59511,,
1193,"Vernon, LA",42755,47429,,
1194,"Washington, LA",34744,46194,,
1195,"Webster, LA",40860,38340,,
1196,"West Baton Rouge, LA",48144,26465,,
1197,"West Carroll, LA",33073,10830,,
1198,"West Feliciana, LA",38926,15568,,
1199,"Winn, LA",37988,13904,,
1200,"Androscoggin, ME",42968,108277,,
1201,"Aroostook, ME",43189,67055,,
1202,"Cumberland, ME",64948,295003,,
1203,"Franklin, ME",40189,30199,,
1204,"Hancock, ME",52294,54987,,
1205,"Kennebec, ME",46958,122302,,
1206,"Knox, ME",51959,39772,,
1207,"Lincoln, ME",51687,34634,,
1208,"Oxford, ME",39240,57975,,
1209,"Penobscot, ME",43136,152148,,
1210,"Piscataquis, ME",39614,16785,,
1211,"Sagadahoc, ME",52736,35856,,
1212,"Somerset, ME",39282,50484,,
1213,"Waldo, ME",43793,39715,,
1214,"Washington, ME",41094,31379,,
1215,"York, ME",54225,207641,,
1216,"Allegany, MD",41454,70416,,
1217,"Anne Arundel, MD",69035,579234,,
1218,"Baltimore, MD",62976,827370,,
1219,"Calvert, MD",63976,92525,,
1220,"Caroline, MD",46883,33406,,
1221,"Carroll, MD",64288,168447,,
1222,"Cecil, MD",49749,102855,,
1223,"Charles, MD",57774,163257,,
1224,"Dorchester, MD",47699,31929,,
1225,"Frederick, MD",64147,259547,,
1226,"Garrett, MD",47735,29014,,
1227,"Harford, MD",60266,255441,,
1228,"Howard, MD",79253,325690,,
1229,"Kent, MD",63141,19422,,
1230,"Montgomery, MD",90139,1050688,,
1231,"Prince George's, MD",50625,909327,,
1232,"Queen Anne's, MD",66733,50381,,
1233,"St. Mary's, MD",58582,113510,,
1234,"Somerset, MD",31668,25616,,
1235,"Talbot, MD",74711,37181,,
1236,"Washington, MD",48650,151049,,
1237,"Wicomico, MD",42547,103609,,
1238,"Worcester, MD",60222,52276,,
1239,"Baltimore (Independent City), MD",53378,593490,,
1240,"Barnstable, MA",77435,212990,,
1241,"Berkshire, MA",58299,124944,,
1242,"Bristol, MA",55718,565217,,
1243,"Dukes, MA",100996,17332,,
1244,"Essex, MA",69981,789034,,
1245,"Franklin, MA",56793,70180,,
1246,"Hampden, MA",53248,466372,,
1247,"Hampshire, MA",54867,160830,,
1248,"Middlesex, MA",87192,1611699,,
1249,"Nantucket, MA",136204,11399,,
1250,"Norfolk, MA",95221,706775,,
1251,"Plymouth, MA",69669,521202,,
1252,"Suffolk, MA",83490,803907,,
1253,"Worcester, MA",58563,830622,,
1254,"Alcona, MI",41049,10405,,
1255,"Alger, MI",34233,9108,,
1256,"Allegan, MI",45937,118081,,
1257,"Alpena, MI",41783,28405,,
1258,"Antrim, MI",47855,23324,,
1259,"Arenac, MI",39009,14883,,
1260,"Baraga, MI",34044,8209,,
1261,"Barry, MI",45804,61550,,
1262,"Bay, MI",43657,103126,,
1263,"Benzie, MI",44283,17766,,
1264,"Berrien, MI",48237,153401,,
1265,"Branch, MI",37202,43517,,
1266,"Calhoun, MI",40257,134159,,
1267,"Cass, MI",45409,51787,,
1268,"Charlevoix, MI",53136,26143,,
1269,"Cheboygan, MI",40405,25276,,
1270,"Chippewa, MI",35034,37349,,
1271,"Clare, MI",34637,30950,,
1272,"Clinton, MI",47411,79595,,
1273,"Crawford, MI",35407,14029,,
1274,"Delta, MI",41210,35784,,
1275,"Dickinson, MI",49179,25239,,
1276,"Eaton, MI",43365,110268,,
1277,"Emmet, MI",58528,33415,,
1278,"Genesee, MI",41929,405813,,
1279,"Gladwin, MI",37512,25449,,
1280,"Gogebic, MI",44113,13975,,
1281,"Grand Traverse, MI",51619,93088,,
1282,"Gratiot, MI",38274,40711,,
1283,"Hillsdale, MI",36033,45605,,
1284,"Houghton, MI",39124,35684,,
1285,"Huron, MI",47909,30981,,
1286,"Ingham, MI",41286,292406,,
1287,"Ionia, MI",35518,64697,,
1288,"Iosco, MI",39832,25127,,
1289,"Iron, MI",45463,11066,,
1290,"Isabella, MI",36356,69872,,
1291,"Jackson, MI",40387,158510,,
1292,"Kalamazoo, MI",49493,265066,,
1293,"Kalkaska, MI",35387,18038,,
1294,"Kent, MI",53664,656955,,
1295,"Keweenaw, MI",47963,2116,,
1296,"Lake, MI",33368,11853,,
1297,"Lapeer, MI",44706,87607,,
1298,"Leelanau, MI",68281,21761,,
1299,"Lenawee, MI",40932,98451,,
1300,"Livingston, MI",58879,191995,,
1301,"Luce, MI",32174,6229,,
1302,"Mackinac, MI",45138,10799,,
1303,"Macomb, MI",47487,873972,,
1304,"Manistee, MI",39389,24558,,
1305,"Marquette, MI",40772,66699,,
1306,"Mason, MI",41488,29144,,
1307,"Mecosta, MI",34090,43453,,
1308,"Menominee, MI",44114,22780,,
1309,"Midland, MI",55972,83156,,
1310,"Missaukee, MI",36922,15118,,
1311,"Monroe, MI",48581,150500,,
1312,"Montcalm, MI",35537,63888,,
1313,"Montmorency, MI",38079,9328,,
1314,"Muskegon, MI",39637,173566,,
1315,"Newaygo, MI",38429,48980,,
1316,"Oakland, MI",73271,1257584,,
1317,"Oceana, MI",38856,26467,,
1318,"Ogemaw, MI",34770,20997,,
1319,"Ontonagon, MI",41363,5720,,
1320,"Osceola, MI",37636,23460,,
1321,"Oscoda, MI",34549,8241,,
1322,"Otsego, MI",41925,24668,,
1323,"Ottawa, MI",49345,291830,,
1324,"Presque Isle, MI",41560,12592,,
1325,"Roscommon, MI",37507,24019,,
1326,"Saginaw, MI",40533,190539,,
1327,"St. Clair, MI",45662,159128,,
1328,"St. Joseph, MI",38936,60964,,
1329,"Sanilac, MI",38917,41170,,
1330,"Schoolcraft, MI",41073,8094,,
1331,"Shiawassee, MI",40535,68122,,
1332,"Tuscola, MI",38676,52245,,
1333,"Van Buren, MI",41773,75677,,
1334,"Washtenaw, MI",60843,367601,,
1335,"Wayne, MI",44512,1749343,,
1336,"Wexford, MI",37240,33631,,
1337,"Aitkin, MN",41327,15886,,
1338,"Anoka, MN",52250,356921,,
1339,"Becker, MN",49190,34423,,
1340,"Beltrami, MN",42212,47188,,
1341,"Benton, MN",45458,40889,,
1342,"Big Stone, MN",55491,4991,,
1343,"Blue Earth, MN",46793,67653,,
1344,"Brown, MN",55904,25008,,
1345,"Carlton, MN",44391,35871,,
1346,"Carver, MN",72852,105089,,
1347,"Cass, MN",47981,29779,,
1348,"Chippewa, MN",51230,11800,,
1349,"Chisago, MN",50093,56579,,
1350,"Clay, MN",44023,64222,,
1351,"Clearwater, MN",44765,8818,,
1352,"Cook, MN",54964,5463,,
1353,"Cottonwood, MN",51543,11196,,
1354,"Crow Wing, MN",45685,65055,,
1355,"Dakota, MN",61914,429021,,
1356,"Dodge, MN",47665,20934,,
1357,"Douglas, MN",52691,38141,,
1358,"Faribault, MN",46941,13653,,
1359,"Fillmore, MN",47061,21067,,
1360,"Freeborn, MN",47356,30281,,
1361,"Goodhue, MN",55816,46340,,
1362,"Grant, MN",50366,5972,,
1363,"Hennepin, MN",76552,1265843,,
1364,"Houston, MN",53446,18600,,
1365,"Hubbard, MN",45257,21491,,
1366,"Isanti, MN",45781,40596,,
1367,"Itasca, MN",46020,45130,,
1368,"Jackson, MN",57933,9846,,
1369,"Kanabec, MN",43416,16337,,
1370,"Kandiyohi, MN",54111,43199,,
1371,"Kittson, MN",50628,4298,,
1372,"Koochiching, MN",45054,12229,,
1373,"Lac qui Parle, MN",56527,6623,,
1374,"Lake, MN",49743,10641,,
1375,"Lake of the Woods, MN",57121,3740,,
1376,"Le Sueur, MN",50728,28887,,
1377,"Lincoln, MN",52251,5639,,
1378,"Lyon, MN",54108,25474,,
1379,"McLeod, MN",50380,35893,,
1380,"Mahnomen, MN",36427,5527,,
1381,"Marshall, MN",51545,9336,,
1382,"Martin, MN",57091,19683,,
1383,"Meeker, MN",46073,23222,,
1384,"Mille Lacs, MN",43058,26277,,
1385,"Morrison, MN",43703,33386,,
1386,"Mower, MN",47445,40062,,
1387,"Murray, MN",59183,8194,,
1388,"Nicollet, MN",51036,34274,,
1389,"Nobles, MN",49217,21629,,
1390,"Norman, MN",41584,6375,,
1391,"Olmsted, MN",59176,158293,,
1392,"Otter Tail, MN",49277,58746,,
1393,"Pennington, MN",57337,14119,,
1394,"Pine, MN",37971,29579,,
1395,"Pipestone, MN",61830,9126,,
1396,"Polk, MN",48513,31364,,
1397,"Pope, MN",52217,11249,,
1398,"Ramsey, MN",55583,550321,,
1399,"Red Lake, MN",50221,4055,,
1400,"Redwood, MN",54719,15170,,
1401,"Renville, MN",53855,14548,,
1402,"Rice, MN",45092,66972,,
1403,"Rock, MN",57617,9315,,
1404,"Roseau, MN",49328,15165,,
1405,"St. Louis, MN",48718,199070,,
1406,"Scott, MN",62164,149013,,
1407,"Sherburne, MN",47712,97238,,
1408,"Sibley, MN",49408,14865,,
1409,"Stearns, MN",47938,161075,,
1410,"Steele, MN",48580,36649,,
1411,"Stevens, MN",50696,9805,,
1412,"Swift, MN",52813,9266,,
1413,"Todd, MN",43979,24664,,
1414,"Traverse, MN",60535,3259,,
1415,"Wabasha, MN",50042,21627,,
1416,"Wadena, MN",40756,13682,,
1417,"Waseca, MN",44262,18612,,
1418,"Washington, MN",68525,262440,,
1419,"Watonwan, MN",48684,10897,,
1420,"Wilkin, MN",57087,6207,,
1421,"Winona, MN",49412,50484,,
1422,"Wright, MN",51609,138377,,
1423,"Yellow Medicine, MN",57881,9709,,
1424,"Adams, MS",35563,30693,,
1425,"Alcorn, MS",36592,36953,,
1426,"Amite, MS",35151,12297,,
1427,"Attala, MS",34583,18174,,
1428,"Benton, MS",31411,8259,,
1429,"Bolivar, MS",39179,30628,,
1430,"Calhoun, MS",33450,14361,,
1431,"Carroll, MS",38497,9947,,
1432,"Chickasaw, MS",36994,17103,,
1433,"Choctaw, MS",34999,8210,,
1434,"Claiborne, MS",31501,8988,,
1435,"Clarke, MS",38735,15541,,
1436,"Clay, MS",39449,19316,,
1437,"Coahoma, MS",37070,22124,,
1438,"Copiah, MS",33932,28065,,
1439,"Covington, MS",36985,18636,,
1440,"DeSoto, MS",42007,184945,,
